document_id,text,severity,department
1,"Emergency brake activated on Train KM-108 near Changampuzha Park due to obstacle on track. Track clearing team dispatched immediately.",Critical,Operations
2,"Monthly revenue report shows 18% growth compared to previous quarter. All financial targets exceeded successfully.",Low,Finance
3,"Fire detected in electrical room at Aluva station. Fire brigade called and station evacuation initiated immediately.",Critical,Safety
4,"Staff absenteeism increasing in ticketing department. Need immediate recruitment drive to maintain service levels.",High,HR
5,"Routine cleaning of platform surfaces completed at all stations. No maintenance issues identified during inspection.",Low,Operations
6,"Power failure at Edappally station causing service disruption. Emergency backup systems activated successfully.",High,Operations
7,"Annual safety audit reveals compliance gaps in fire safety protocols. Immediate corrective action required.",High,Safety
8,"Customer satisfaction survey shows 92% positive feedback. Minor improvements needed in crowd management.",Medium,Operations
9,"Signal malfunction at MG Road junction causing 45-minute delays. Technical repair team working on resolution.",High,Operations
10,"New employee orientation program completed with 98% attendance. Training effectiveness rated highly by participants.",Low,HR
11,"Structural damage found in Platform 3 ceiling at Kaloor station. Immediate area cordoning and repair required.",Critical,Safety
12,"Budget variance analysis shows 5% cost overrun in maintenance expenses. Finance review meeting scheduled.",Medium,Finance
13,"Medical emergency on Platform 2 - passenger collapsed during rush hour. Ambulance arrived within 8 minutes.",High,Safety
14,"Elevator malfunction at Companyvadi station. Maintenance team dispatched for immediate repair work.",Medium,Operations
15,"Security threat reported near Kalamassery station perimeter. Police informed and additional security deployed.",Critical,Safety
16,"Quarterly performance metrics exceed targets in punctuality by 12%. Operations team commended for excellence.",Low,Operations
17,"Air conditioning system failure in multiple train coaches during peak summer. Passenger discomfort reported.",High,Operations
18,"Annual financial statements audited successfully. Minor accounting adjustments recommended by external auditors.",Medium,Finance
19,"Track inspection reveals loose bolts at kilometer 15.2. Emergency maintenance work scheduled for tonight.",High,Operations
20,"Employee wellness program launched with health screening camps. Positive response from all departments.",Low,HR
21,"Bomb threat call received for Ernakulam South station. Full evacuation protocol activated immediately.",Critical,Safety
22,"Energy consumption reduced by 22% through LED installation project. Significant cost savings achieved annually.",Low,Finance
23,"Passenger complaint about ticketing system downtime during peak hours. IT team investigating technical issues.",Medium,Operations
24,"New recruitment completed for security personnel. Training program to begin next week for 15 new hires.",Medium,HR
25,"Platform overcrowding during festival season causing safety concerns. Additional crowd control measures implemented.",High,Safety
26,"Train derailment at maintenance yard during routine shunting. No injuries but investigation required urgently.",Critical,Safety
27,"IT system backup failure detected during routine checks. Data recovery procedures initiated immediately.",High,Operations
28,"Monthly maintenance budget approved with 8% increase. Additional funds allocated for aging infrastructure.",Medium,Finance
29,"Unauthorized personnel found in restricted track area. Security breach protocol activated with police notification.",High,Safety
30,"Customer feedback analysis reveals improvement in cleanliness ratings. Housekeeping team performance commended.",Low,Operations
31,"Emergency brake cable theft reported at three stations. Security measures enhanced with additional patrols.",High,Safety
32,"Annual leave planning completed for all departments. Adequate coverage ensured during holiday periods.",Low,HR
33,"Signal equipment upgrade project completed ahead of schedule. Enhanced safety systems now operational.",Medium,Operations
34,"Revenue collection shortfall of 12% reported for last month. Marketing campaign needed to boost ridership.",High,Finance
35,"Passenger injured on escalator at Aluva station. Medical team responded and safety inspection ordered.",High,Safety
36,"Technology integration project for smart cards successful. 95% passenger adoption rate achieved.",Low,Operations
37,"Staff overtime costs exceeding approved budget by 15%. Immediate review of duty rosters required.",Medium,HR
